"Parameter","Posterior_Mean","Posterior_Median","Posterior_Q5","Posterior_Q95","Lower_Bound","Upper_Bound","Prior_Distribution","Prior_Parameters"
"Kd_sRNA",785.466871092875,701.33103,311.526343,1532.22554,10,5000,"lognormal","log(600), 0.5"
"decay_R_free",1.62827173263375,1.59905685,1.165484705,2.1981642,0.1,5,"lognormal","log(1.5), 0.2"
"decay_complex_sRNA",15.465567289325,15.1689405,11.16257465,20.77274455,5,50,"lognormal","log(19), 0.2"
"decay_S_free",11.7451530022313,11.30848,7.221411555,17.833705,5,100,"lognormal","log(10), 0.3"
"decay_asR",77.99650602675,81.784328,44.56186935,98.56409715,10,100,"lognormal","log(60), 0.8"
"base_syn",5275.82348264938,5009.29905,2575.570925,8839.563285,10,50000,"lognormal","log(25000), 0.5"
"base_syn_S",20130.8853472375,18789.7395,10444.84635,34441.17175,500,50000,"lognormal","log(15000), 0.5"
"term_rate_asR_on_RNA",0.0102381562578063,0.0101124005,0.00975525763,0.01115242435,0.001,0.1,"uniform","min=0.001, max=0.1"
"term_rate_RNA_on_asR",0.503704290292475,0.503762195,0.1389087385,0.870157183,0,1,"beta","shape1=2, shape2=2"
"synthesis_leak",168.526340672063,174.5153,118.742502,197.937258,1,200,"normal (dynamic)","mean=expected_leak, sd=0.1*expected_leak"
"f_sRNA_9",0.350899412433125,0.34529774,0.2549228665,0.46868458,0,10,"lognormal","log(0.3), 0.2"
"f_sRNA_24",1.1465706897825,1.13459095,0.8474795125,1.48820937,0,10,"lognormal","log(0.8), 0.2"
"f_RNA_24",1.24401497525,1.15857115,1.01170844,1.757286975,1,20,"lognormal","log(5.5), 1"
"f_RNA_9",1.74664810013125,1.6065574,1.12654613,2.833667425,1,50,"lognormal","log(10.89), sigma_reporter"
"f_asRNA_9",84.9750589026875,79.9810775,53.65798505,132.6283015,50,300,"lognormal","log(120.7), sigma_reporter"
"f_asRNA_24",79.5783570049375,76.788321,57.85675415,110.811107,50,300,"lognormal","log(96.7), sigma_reporter"
"sigma_rnaseq",1.11438299686481,1.08644005,0.6503661015,1.68691498,0,Inf,"exponential","rate=5"
"sigma_microarray",0.30615232146625,0.29991826,0.2237279395,0.409518185,0,Inf,"exponential","rate=20"
"sigma_qpcr",0.425074529223687,0.40696764,0.1997584465,0.717502285,0,Inf,"exponential","rate=10"
"sigma_nb1",0.59980859382125,0.577169415,0.4012418345,0.8790312735,0,Inf,"exponential","rate=5"
"sigma_decay",0.314990791812437,0.281604725,0.112035479,0.633794243,0,Inf,"exponential","rate=5"
"sigma_reporter",1.09920864691281,1.0264806,0.603445775,1.844882805,0,Inf,"exponential","rate=1"
